,Property_Name,Property Title,Price,Location,Total_Area(SQFT),Price_per_SQFT,Description,Total_Rooms,Balcony,city,property_type,BHK
3198,Sobha Ivory,"3 BHK Flat for sale in Kondhwa, Pune",10000000.0,"Kondhwa, Pune",1450,6900.0,"3 BHK Apartment for sale in Pune. This property is in Kondhwa, which is a coveted investment location. This tastefully designed 3 BHK unit is among Pune's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Pune is on floor 4. The total number of floors in this Apartment is 11. The price of the Apartment is Rs 1.0 Cr. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1450 Square feet. Some of the ...",3,Yes,Pune,Flat,3
3199,"Khese Park,Khese Park, Lohegaon,Pune","6 BHK Villa for sale in Lohegaon, Pune",31900000.0,"Khese Park,Khese Park, Lohegaon,Pune",3800,8390.0,"Check out this 6 BHK Villa for sale in Lohegaon, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 6 BHK Villa is perfect for a modern-day lifestyle. Lohegaon is a promising location in Pune and this is one of the finest properties in the area. Buy this Villa for sale now. The property's price is Rs 3.19 Cr. This property is a modern-day abode, with 3300 Square feet built-up area. The carpet-area is 3250 Square feet. The unit has 6 bedrooms and 4 bathroom. Educational institutions are closeby with schools such as Kendriya Vidyalaya No1, Eknathrao K...",1,Yes,Pune,Villa,6
3200,"New Sangvi,Hindustan Antibiotics Colony, Pimpri,Pune","3 BHK Flat for sale in Pimpri, Pune",12900000.0,"New Sangvi,Hindustan Antibiotics Colony, Pimpri,Pune",1471,8770.0,"Looking for a 3 BHK Apartment for sale in Pune? Your search ends here. Buy this 3 BHK property in Pune's finest location, Pimpri Chinchwad. This is an owner listed property and there is no brokerage involved. It is on floor 18 out of 22 floors. This Apartment is available at a reasonable price of Rs 1.29 Cr. The built up area of this property is 1471 Square feet. There are a number of reputed schools in the vicinity such as Dr. D. Y. Patil Institute of Technology, Podar International School, and Jai Hind High School and Junior College. Medical facility is also close at hand with names like Vit...",3,Yes,Pune,Flat,3
3201,Vaidehi Residency,"2 BHK Flat for sale in Kothrud, Pune",11500000.0,"Chaitanya Nagar, Kothrud,Pune",982,11710.0,"Looking for a 2 BHK Apartment for sale in Pune? Your search ends here. Buy this 2 BHK property in Pune's finest location, Kothrud. This is an owner listed property and there is no brokerage involved. It is on floor 8 out of 11 floors. This Apartment is available at a reasonable price of Rs 1.15 Cr. The built up area of this property is 982 Square feet. There are a number of reputed schools in the vicinity such as Millennium National School And Junior College, Abhinav Vidyalaya English Medium School, and Aaryans World School Warje. Medical facility is also close at hand with names like QI Spine...",3,No,Pune,Flat,2
3202,"Vedant apartment ,Perugate, Sadashiv Peth,Pune","3 BHK Flat for sale in Sadashiv Peth, Pune",15000000.0,"Vedant apartment ,Perugate, Sadashiv Peth,Pune",1300,11540.0,"2 bhk flat with 750 sqft terrace. It has 1 bedroom and 1 toilet and rest of the area is covered  More About This Property Property for sale in Sadashiv Peth, Pune. This 3 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 4. The total number of floors in this building is 5. Homebuyers will also need to pay Rs 200 towards maintenance. This Apartment is a spacious unit, with carpet area of 1300 Square feet and is ideal for families. The built-up area is 1300 Square feet. The property has 3 bedrooms and 3...",3,Yes,Pune,Flat,3
3203,"Ashapuri shelters,Ghorpade Peth, Mahatma Phule Peth,Pune","3 BHK Flat for sale in Mahatma Phule Peth, Pune",14500000.0,"Ashapuri shelters,Ghorpade Peth, Mahatma Phule Peth,Pune",1680,8630.0,"3 BHK Apartment for sale in Swargate, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Swargate which is a promising investment destination in Pune. This might be your chance to grab the best 3 BHK property for sale in Swargate. The property is on floor 3 and the total number of floors is 4. This 3 BHK Apartment is available at a reasonable price of Rs 1.45 Cr. The built-up area is 1680 Square feet. This property has provision for 1 bathroom. Other provisions include Garden, Sports Facility, Intercom, Clubhouse, Commu...",3,Yes,Pune,Flat,3
3204,Pride Purple Sapphire Park,"3 BHK Flat for sale in Wakad, Pune",14000000.0,"Park Street, Wakad,Pune",1430,9790.0,"3 BHK Apartment for sale in Wakad, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Wakad which is a promising investment destination in Pune. This might be your chance to grab the best 3 BHK property for sale in Wakad. The property is on floor 3 and the total number of floors is 4. This 3 BHK Apartment is available at a reasonable price of Rs 1.4 Cr. It is a very spacious property, spread over 1210 Square feet. The built-up area is 1430 Square feet. This property has provision for 3 bathroom. It enjoys a strategic lo...",3,Yes,Pune,Flat,3
3205,"Gera Greens Ville sky villas,Rakshak Nagar, Kharadi,Pune","4 BHK Flat for sale in Kharadi, Pune",23500000.0,"Gera Greens Ville sky villas,Rakshak Nagar, Kharadi,Pune",2941,7990.0,"4 BHK Apartment for sale in Kharadi, Pune. This 4 BHK unit is available in Kharadi and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Kharadi. It is on floor 9. The total number of floors is 9. The price of this Apartment is Rs 2.35 Cr. The built-up area is 2941 Square feet. This property is at a walking distance from Columbia Asia Hospital Pune, Medipoint Hospital, and K K Hospital. The city's best schools such as The Orbis School, Eon Gyanankur English s...",4,Yes,Pune,Flat,4
3206,Marvel Selva Ridge Estate,"3 BHK Flat for sale in Bavdhan, Pune",28000000.0,"Siddharth Nagar, Bavdhan,Pune",3025,9260.0,"3 BHK Apartment for sale in Bavdhan, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Bavdhan which is a promising investment destination in Pune. This might be your chance to grab the best 3 BHK property for sale in Bavdhan. The property is on floor 5 and the total number of floors is 8. This 3 BHK Apartment is available at a reasonable price of Rs 2.8 Cr. The built-up area is 3025 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Om Hospital, Bavdhan Medicare Cen...",4,Yes,Pune,Flat,3
3207,"Kalpataru Estate Phase-2, Pimple Gurav, Pune","3 BHK Flat for sale in Pimple Gurav, Pune",10500000.0,"Ram Nagar, Pimple Gurav,Pune",1254,8370.0,"A 3 BHK Apartment for sale in Pimpri Chinchwad, Pune. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Pimpri Chinchwad's most desired properties. Contact now for more information. This 3 BHK unit is on floor 4. There are 12 floors in this property. The price of this Apartment is Rs 1.05 Cr. Maintenance charges come to Rs 2924. Each unit has a built-up area of 1254 Square feet. The carpet area is 1029 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Core Fitness Club, G...",3,No,Pune,Flat,3
3208,"Swastik Ganga,Dobarwadi, Ghorpadi,Pune","3 BHK Flat for sale in Ghorpadi, Pune",60000000.0,"Swastik Ganga,Dobarwadi, Ghorpadi,Pune",2860,20980.0,"Looking for a 3 BHK Apartment for sale in Pune? Your search ends here. Buy this 3 BHK property in Pune's finest location, Ghorpadi. This is an owner listed property and there is no brokerage involved. It is on floor 9 out of 9 floors. This Apartment is available at a reasonable price of Rs 6.0 Cr. Maintenance charges in this property is Rs 0. The built up area of this property is 2860 Square feet. There are a number of reputed schools in the vicinity such as St Vincents High School & Jr College, The Bishops School, and Army Public School. Medical facility is also close at hand with names like ...",4,Yes,Pune,Flat,3
3209,"Vetal Nagar, Hadapsar,Pune","3.5 BHK Flat for sale in Hadapsar, Pune",20000000.0,"Vetal Nagar, Hadapsar,Pune",2350,8510.0,"One of the finest property in Hadapsar is now available for sale. This is a 3.5 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 11 storeyed building. The price of this Apartment is Rs 2.0 Cr. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 2350 Square feet. This property ensures you are a quick distance away from the city's best schools such as The Lexicon School, Sadhana Vidyalay & Junior College, and Wonder World English Medium School. It is also close to good and repute...",4,Yes,Pune,Flat,35
3210,"Ramesh Hermes Tower,Camp, Pune","2 BHK Flat for sale in Camp, Pune",12000000.0,"Ramesh Hermes Tower,Camp, Pune",850,14120.0,"Looking for a 2 BHK Apartment for sale in Pune? Your search ends here. Buy this 2 BHK property in Pune's finest location, Camp. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 5 floors. This Apartment is available at a reasonable price of Rs 1.2 Cr. Maintenance charges in this property is Rs 0. The built up area of this property is 850 Square feet. There are a number of reputed schools in the vicinity such as The Bishops School, St Vincents High School & Jr College, and Army Public School. Medical facility is also close at hand with names like South...",3,Yes,Pune,Flat,2
3211,Suramya Apartment,"2 BHK Flat for sale in Sadashiv Peth, Pune",15800000.0,"Perugate, Sadashiv Peth,Pune",780,20260.0,"2 BHK Apartment for sale in Sadashiv Peth, Pune. This 2 BHK unit is available in Sadashiv Peth and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Sadashiv Peth. It is on floor 2. The total number of floors is 4. The price of this Apartment is Rs 1.58 Cr. Residents in this project also pay monthly maintenance charges of Rs 100. The built-up area is 780 Square feet. There are 2 bedrooms and 2 bathroom. This property is at a walking distance from Apollo Spect...",2,Yes,Pune,Flat,2
3212,Marvel Matrix,"2 BHK Flat for sale in Koregaon Park, Pune",16500000.0,"Koregaon Park, Pune",1450,11380.0,"2 BHK Apartment for sale in Koregaon Park, Pune. This 2 BHK unit is available in Koregaon Park and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Koregaon Park. It is on floor 6. The total number of floors is 10. The price of this Apartment is Rs 1.65 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 1450 Square feet. This property is at a walking distance from Jehangir Hospital, Sahyadri Super Speciality Hosp...",3,Yes,Pune,Flat,2
3213,"Green Heaven,Dobarwadi, Ghorpadi,Pune","3 BHK Flat for sale in Ghorpadi, Pune",20000000.0,"Green Heaven,Dobarwadi, Ghorpadi,Pune",1400,14290.0,"Looking for a good 3 BHK Apartment in Ghorpadi, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 5. Total number of floors is 6. This Apartment is available for Rs 2.0 Cr. This modern unit has a built-up area of 1400 Square feet. It is very close to some of city's best hospitals, such as, Jehangir Hospital, Southern Command Hospital, and Inamdar Multispeciality Hospital Pune. Established schools, such as St Vincents High School & Jr College, The Bishops School, and Army Public School are also close-by",3,No,Pune,Flat,3
3214,Naseeba Prime Villas,"3 BHK Villa for sale in Undri, Pune",12000000.0,"Shree Siddhivinayak Meera, Undri,Pune",3000,4000.0,"3 BHK Villa for sale in Pune. This property is in Undri, which is a coveted investment location. This tastefully designed 3 BHK unit is among Pune's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. The price of the Villa is Rs 1.2 Cr. Monthly maintenance charges come to Rs 3000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 3000 Square feet. The carpet area is 2500 Square feet. It has 4 bathroom and 3 bedrooms. Some of the very well-known and reput...",5,Yes,Pune,Villa,3
3215,Sobha Carnation,"4 BHK Flat for sale in Kondhwa, Pune",16800000.0,"Kondhwa, Pune",2165,7760.0,"Beautifully Furnished 3.5 BHK Flat for Sale in Sobha Carnation. Sobha Carnation is truly an un-matched Luxury Option for those who are looking for an luxury Lifestyle. Having world class amenities. Next to Kothari High School, Opp lane to Ranka Jeweller and walking distance from Vijay Sales. Petrol Pump, Dmart, Reliance Mart within 500 Meters proximity.  More About This Property Property for sale in Kondhwa, Pune. This 4 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors i...",4,Yes,Pune,Flat,4
3216,"Perugate, Sadashiv Peth,Pune","3 BHK Flat for sale in Sadashiv Peth, Pune",16399999.999999998,"Perugate, Sadashiv Peth,Pune",1387,11820.0,"Property for sale in Sadashiv Peth, Pune. This 3 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 5. This Apartment's price is Rs 1.64 Cr. The built-up area is 1387 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Apollo Spectra Hospitals, Deenanath Mangeshkar Hospital and Research Center, and Sancheti Hospital. Schools like Jnana Prabodhini Prashala, Sinhgad Business School Erandwane, and...",3,Yes,Pune,Flat,3
3217,"Bailtika Nagar, Thergaon,Pune","10 BHK Villa for sale in Thergaon, Pune",13000000.0,"Bailtika Nagar, Thergaon,Pune",3600,3610.0,"Looking for a 10 BHK Villa for sale in Pune? Your search ends here. Buy this 10 BHK property in Pune's finest location, Pimpri Chinchwad. This is an owner listed property and there is no brokerage involved. This Villa is available at a reasonable price of Rs 1.3 Cr. Maintenance charges in this property is Rs 1000. The built up area of this property is 3600 Square feet. It is spacious for a family and this property has a carpet area of 3000 Square feet. There are 10 bedrooms and 9 bathroom. There are a number of reputed schools in the vicinity such as Pumpkin Patch School & Day Care, Kantilal V...",2,Yes,Pune,Villa,10
3218,"Ravet, Pune","3 BHK Villa for sale in Ravet, Pune",15000000.0,"Ravet, Pune",2200,6820.0,"Property for sale in Ravet, Pune. This 3 BHK Villa is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. This Villa's price is Rs 1.5 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 2200 Square feet. This Villa is strategically located within close distance of famous healthcare centres such as Dharaskar Hospital, Varad Hospital, and Vankatesh Hospital. Schools like planet wisdom pre school, S B Patil Public School, and St Joseph Nirmal Bethany School, Dehuroad are also nearby",4,Yes,Pune,Villa,3
3219,"Pashan, Pune","4 BHK Villa for sale in Pashan, Pune",65000000.0,"Pashan, Pune",3000,21670.0,"4 BHK Villa for sale in Pashan, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Villa is in Pashan which is a promising investment destination in Pune. This might be your chance to grab the best 4 BHK property for sale in Pashan. This 4 BHK Villa is available at a reasonable price of Rs 6.5 Cr. Residents also need to pay maintenance charges of Rs 0. The built-up area is 3000 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Padore Hospital, Elite Healthcare, Datar Hospital, and O...",2,Yes,Pune,Villa,4
3220,"Nana Peth, Ganesh Peth,Pune","3 BHK Flat for sale in Ganesh Peth, Pune",18000000.0,"Nana Peth, Ganesh Peth,Pune",2000,9000.0,"Looking for a 3 BHK Apartment for sale in Pune? Your search ends here. Buy this 3 BHK property in Pune's finest location, Ganesh Peth. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 4 floors. This Apartment is available at a reasonable price of Rs 1.8 Cr. Maintenance charges in this property is Rs 1500. The built up area of this property is 2000 Square feet. It is spacious for a family and this property has a carpet area of 1700 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as The Bisho...",1,Yes,Pune,Flat,3
3221,Avior Aatman,"2 BHK Flat for sale in Mahatma Phule Peth, Pune",11000000.0,"Ghorpade Peth, Mahatma Phule Peth,Pune",1060,10380.0,"Looking for a 2 BHK Apartment for sale in Pune? Your search ends here. Buy this 2 BHK property in Pune's finest location, Swargate. This is an owner listed property and there is no brokerage involved. It is on floor 9 out of 11 floors. This Apartment is available at a reasonable price of Rs 1.1 Cr. Maintenance charges in this property is Rs 2500. The built up area of this property is 1060 Square feet. It is spacious for a family and this property has a carpet area of 745 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as The Bishops ...",3,No,Pune,Flat,2
3222,"Nakhate Vasti, Rahatani,Pune","5 BHK Independent House for sale in Rahatani, Pune",23000000.0,"Nakhate Vasti, Rahatani,Pune",2000,11500.0,"Best 5 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 5 BHK property for sale in one of Pune's top location, Rahatani. The property price of this unit is Rs 2.3 Cr. Monthly maintenance costs Rs 0. The built-up area is 2000 Square feet. It is an ideal location for young families with kids, as this property is close to SNBP International School, Serra International Pre-School - Pimpri, and Tambe Highschool. Healthcare facility is also close at hand with Aditya Birla Memorial Hospital, Lotus Multi-speciality Hospital, an...",3,Yes,Pune,House,5
3223,Aura Residences,"2 BHK Flat for sale in Baner, Pune",10500000.0,"Baner, Pune",1121,9370.0,"2 BHK Apartment for sale in Baner, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Baner which is a promising investment destination in Pune. This might be your chance to grab the best 2 BHK property for sale in Baner. The property is on floor 8 and the total number of floors is 8. This 2 BHK Apartment is available at a reasonable price of Rs 1.05 Cr. Residents also need to pay maintenance charges of Rs 3000. It is a very spacious property, spread over 830 Square feet. The built-up area is 1121 Square feet. This prop...",3,No,Pune,Flat,2
3224,"Yashwant re,Tulaja Bhawani Nagar, Kharadi,Pune","7 BHK Flat for sale in Kharadi, Pune",31100000.0,"Yashwant re,Tulaja Bhawani Nagar, Kharadi,Pune",4500,6910.0,"A 7 BHK Apartment for sale in Kharadi, Pune. Posted by Owner, No brokerage involved. This beautifully designed 7 BHK unit with all the modern-day comforts is one of Kharadi's most desired properties. Contact now for more information. This 7 BHK unit is on floor 4. There are 4 floors in this property. The price of this Apartment is Rs 3.11 Cr. Maintenance charges come to Rs 4000. Each unit has a built-up area of 4500 Square feet. The carpet area is 4125 Square feet. There are 7 bedrooms. There is provision for 8 bathroom. This residential property is near Dhole Patil School For Excellence in Pu...",5,Yes,Pune,Flat,7
3225,Bramha Corp Emerald County,"3 BHK Flat for sale in Mohammed Wadi, Pune",12000000.0,"Mohammed Wadi, Pune",1500,8000.0,"3 BHK Apartment for sale in Mohammed Wadi, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Mohammed Wadi which is a promising investment destination in Pune. This might be your chance to grab the best 3 BHK property for sale in Mohammed Wadi. The property is on floor 3 and the total number of floors is 10. This 3 BHK Apartment is available at a reasonable price of Rs 1.2 Cr. Residents also need to pay maintenance charges of Rs 3000. The built-up area is 1500 Square feet. This property has provision for 3 bathroom. It...",3,No,Pune,Flat,3
3226,Naiknavare Clarion Park,"3 BHK Flat for sale in Aundh, Pune",15000000.0,"Aundh, Pune",1295,11580.0,"3 BHK Apartment for sale in Aundh, Pune. This 3 BHK unit is available in Aundh and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Aundh. It is on floor 7. The total number of floors is 7. The price of this Apartment is Rs 1.5 Cr. Residents in this project also pay monthly maintenance charges of Rs 2500. It is a good, spacious Apartment unit with carpet area of 1256 Square feet. The built-up area is 1295 Square feet. There are 3 bedrooms and 3 bathroom. Thi...",3,Yes,Pune,Flat,3
3227,Shriram Chandrama,"3 BHK Flat for sale in Baner, Pune",17000000.0,"Baner, Pune",1646,10330.0,"Looking for a good 3 BHK Apartment in Baner, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 9. Total number of floors is 9. Maintenance charges of this property is Rs 2500. This Apartment is available for Rs 1.8 Cr. This modern unit has a built-up area of 1646 Square feet. There are 3 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Healing Hands Clinic - Advanced Piles, Fissure, Fistula, Hernia Treatment Clinic | Doctor in Baner, Jupiter Hospital, Pune, and Umarji Mother and Child Ca...",3,Yes,Pune,Flat,3
3228,Goel Ganga Utopia,"3 BHK Flat for sale in Bavdhan, Pune",13100000.0,"Bavdhan, Pune",1570,8340.0,"Looking for a good 3 BHK Apartment in Bavdhan, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 7. Total number of floors is 19. This Apartment is available for Rs 1.31 Cr. This modern unit has a built-up area of 1570 Square feet. The carpet area of this Apartment is 1170 Square feet. There are 3 bedrooms and 3 bathroom. Lift is available in this Apartment. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden. This property also enjoys power backup facility. Regular wate...",3,No,Pune,Flat,3
3229,Goel Ganga Utopia,"4 BHK Flat for sale in Bavdhan, Pune",21000000.0,"Bavdhan, Pune",2527,8310.0,"Looking for a 4 BHK Apartment for sale in Pune? Your search ends here. Buy this 4 BHK property in Pune's finest location, Bavdhan. This is an owner listed property and there is no brokerage involved. It is on floor 8 out of 19 floors. This Apartment is available at a reasonable price of Rs 2.1 Cr. The built up area of this property is 2527 Square feet. It is spacious for a family and this property has a carpet area of 1872 Square feet. There are 4 bedrooms and 4 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities lik...",4,Yes,Pune,Flat,4
3230,Pride Platinum I And J,"3 BHK Flat for sale in Baner, Pune",15000000.0,"Baner, Pune",1704,8800.0,"A 3 BHK Apartment for sale in Baner, Pune. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Baner's most desired properties. Contact now for more information. This 3 BHK unit is on floor 8. There are 18 floors in this property. Maintenance charges come to Rs 4000. Each unit has a built-up area of 1704 Square feet. The carpet area is 1280 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Vibgyor High International School, Jump Thru Joy, and creative minds school. It is al...",3,Yes,Pune,Flat,3
3231,"Nandadeep Colony, Kalewadi,Pune","3 BHK Flat for sale in Kalewadi, Pune",10000000.0,"Nandadeep Colony, Kalewadi,Pune",1300,7690.0,"Looking for a 3 BHK Apartment for sale in Pune? Your search ends here. Buy this 3 BHK property in Pune's finest location, Kalewadi. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 7 floors. This Apartment is available at a reasonable price of Rs 1.0 Cr. The built up area of this property is 1300 Square feet. There are a number of reputed schools in the vicinity such as Podar International School, S N B P School & Jr College, and Prathmik Vidyamandir Kalewadi. Medical facility is also close at hand with names like Aditya Birla Memorial Hospital, Kama...",3,No,Pune,Flat,3
3232,"Kothrud stand,Dahanukar Colony, Kothrud,Pune","2 BHK Flat for sale in Kothrud, Pune",12000000.0,"Kothrud stand,Dahanukar Colony, Kothrud,Pune",850,14120.0,"A 2 BHK Apartment for sale in Kothrud, Pune. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Kothrud's most desired properties. Contact now for more information. This 2 BHK unit is on floor 1. There are 5 floors in this property. The price of this Apartment is Rs 1.2 Cr. Maintenance charges come to Rs 1800. Each unit has a built-up area of 850 Square feet. The carpet area is 850 Square feet. There are 2 bedrooms. There is provision for 1 bathroom. This residential property is near Sinhgad Business School Erandwane, Millenn...",3,Yes,Pune,Flat,2
3233,Kundan Kundan Estates,"3 BHK Independent House for sale in Pimple Saudagar, Pune",14000000.0,"Kunj Colony, Pimple Saudagar,Pune",1283,10910.0,"Property for sale in Pimpri Chinchwad, Pune. This 3 BHK Independent House is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 1.4 Cr. Homebuyers will also need to pay Rs 1800 towards maintenance. The built-up area is 1283 Square feet. The property has 3 bedrooms and 3 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Shri Shakti Hospital, Lotus Multi-speciality Hospital, and Aundh E.S.I.C Hospital. Schools like Euro Kids, GK Guru...",3,No,Pune,House,3
3234,Oxford Florida River Walk Phase 1,"3 BHK Flat for sale in Mundhwa, Pune",11500000.0,"Mundhwa, Pune",1100,10450.0,"One of the finest property in Mundhwa is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 11. It is a 14 storeyed building. The price of this Apartment is Rs 1.15 Cr. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 1100 Square feet. The carpet area is 1050 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as The Orbis School, Pune Zilla Parishad School, and Rajaram...",3,Yes,Pune,Flat,3
3235,Alcon Renaissant,"2 BHK Flat for sale in Kharadi, Pune",10000000.0,"Tulaja Bhawani Nagar, Kharadi,Pune",1150,8700.0,"2 BHK Apartment for sale in Kharadi, Pune. This 2 BHK unit is available in Kharadi and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Kharadi. It is on floor 10. The total number of floors is 11. The price of this Apartment is Rs 1.1 Cr. Residents in this project also pay monthly maintenance charges of Rs 3750. It is a good, spacious Apartment unit with carpet area of 890 Square feet. The built-up area is 1150 Square feet. There are 2 bedrooms and 2 bathro...",3,Yes,Pune,Flat,2
3236,"SUN SOLITAIRE,Nilanjali Society, Kalyani Nagar,Pune","5 BHK Flat for sale in Kalyani Nagar, Pune",37500000.0,"SUN SOLITAIRE,Nilanjali Society, Kalyani Nagar,Pune",3200,11720.0,"A 5 BHK Apartment for sale in Kalyani Nagar, Pune. Posted by Owner, No brokerage involved. This beautifully designed 5 BHK unit with all the modern-day comforts is one of Kalyani Nagar's most desired properties. Contact now for more information. This 5 BHK unit is on floor 3. There are 5 floors in this property. The price of this Apartment is Rs 3.75 Cr. Maintenance charges come to Rs 0. Each unit has a built-up area of 3200 Square feet. There are 5 bedrooms. This residential property is near Army Public School, Lexicon International School, and C P Goenka International School. It is also clos...",6,Yes,Pune,Flat,5
3237,Shriram Chandrama,"3 RK Flat for sale in Baner, Pune",18000000.0,"Baner, Pune",1300,13850.0,"Looking for a good 3 RK Apartment in Baner, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 9. Total number of floors is 9. Maintenance charges of this property is Rs 2000. This Apartment is available for Rs 1.8 Cr. This modern unit has a built-up area of 1300 Square feet. There are 3 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Saishree Hospital - Orthopedic Hospital in Pune | Joints replacement surgery in Pune, Life Line Hospital, and Metro Hospital. Established schools, such as ...",3,Yes,Pune,Flat,3
3238,"Adeshwar apartment,Nana Peth, Bhawani Peth,Pune","3 BHK Flat for sale in Bhawani Peth, Pune",10100000.0,"Adeshwar apartment,Nana Peth, Bhawani Peth,Pune",1400,7210.0,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Pune's top location, Bhawani Peth. It is situated on floor 3. The total number of floors in this Apartment is 5. The property price of this unit is Rs 1.01 Cr. Monthly maintenance costs Rs 900. The built-up area is 1400 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to The Bishops School, Jnana Prabodhini Prashala, and Samubai Mulchand Choksey High School An...",3,No,Pune,Flat,3
3239,"Kondhwa, Pune","3.5 BHK Independent House for sale in Kondhwa, Pune",28000000.0,"Kondhwa, Pune",2500,11200.0,"This luxurious 3.5 bhk duplex-Penthouse in kondhwa is available for sale in bramha emerald county, one of the well-Known complexes by bramha corp. This residential flat is west-Facing. Containing 3 bathrooms, 2 balconies, and an l-Shaped eye-Level terrace, this flat is spread over a built-Up area of approx 2,500 sq.Ft. With an additonal overhead private terrace of approx 1,200 sq.Ft. You can enjoy the feel of a bungalow on the 10th floor, that too in the security and bonhomie of a gated housing society. The building has a total of 12 floors and this property is situated on the 10th, 11th, and ...",4,Yes,Pune,House,35
3240,"Hindustan Antibiotics Colony, Pimpri,Pune","2 BHK Flat for sale in Pimpri, Pune",11000000.0,"Hindustan Antibiotics Colony, Pimpri,Pune",2018,5450.0,"Check out this 2 BHK Apartment for sale in Pimpri Chinchwad, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Pimpri Chinchwad is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 12. The total number of floors in this project is 12. The property's price is Rs 1.1 Cr. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 2018 Square feet built-up area. Education...",4,Yes,Pune,Flat,2
