,Property_Name,Property Title,Price,Location,Total_Area(SQFT),Price_per_SQFT,Description,Total_Rooms,Balcony,city,property_type,BHK
5107,TVH Svaya,"1 BHK Flat for sale in Pennalur, Chennai",2300000.0,"Pennalur, Chennai",555,4140.0,"Looking for a good 1 BHK Apartment in Irungattukottai, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 0. Total number of floors is 4. Maintenance charges of this property is Rs 2200. This Apartment is available for Rs 23.0 L. This modern unit has a built-up area of 555 Square feet. The carpet area of this Apartment is 500 Square feet. There are 1 bedroom and 1 bathroom. It is very close to some of city's best hospitals, such as, Annaii Medical College & Hospital and Jaya Hospital. Established schools, such as Haya...",2,Yes,Chennai,Flat,1
5108,Green Wood,"3 BHK Flat for sale in Mambakkam-Chengalpattu , Chennai",5900000.0,"Mambakkam-Chengalpattu , Chennai",1150,5130.0,"3 BHK Apartment for sale in Chennai. This property is in Mambakkam, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 59.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1150 Square feet. Some of the very well-known and reputed spec...",3,Yes,Chennai,Flat,3
5109,Green Wood,"3 BHK Flat for sale in Mambakkam-Chengalpattu , Chennai",5900000.0,"Mambakkam-Chengalpattu , Chennai",1150,5130.0,"Check out this 3 BHK Apartment for sale in Mambakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Mambakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 3. The property's price is Rs 59.0 L. This property is a modern-day abode, with 1150 Square feet built-up area. Educational institutions are closeby with schools such as Vellamal Global Sc...",3,No,Chennai,Flat,3
5110,Green Wood,"3 BHK Flat for sale in Mambakkam-Chengalpattu , Chennai",5900000.0,"Mambakkam-Chengalpattu , Chennai",1150,5130.0,"Property for sale in Mambakkam, Chennai. This 3 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 3. This Apartment's price is Rs 59.0 L. The built-up area is 1150 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Kathir Memorial Hospital. Schools like Vellamal Global School, Velammal Vidyashram, and Maharishi Vidya Mandir are also nearby",3,Yes,Chennai,Flat,3
5111,"ECO TREE ,Mambakkam-Chengalpattu , Chennai","3 BHK Flat for sale in Mambakkam-Chengalpattu , Chennai",5300000.0,"ECO TREE ,Mambakkam-Chengalpattu , Chennai",1000,5300.0,"A 3 BHK Apartment for sale in Mambakkam, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Mambakkam's most desired properties. Contact now for more information. This 3 BHK unit is on floor 2. There are 2 floors in this property. The price of this Apartment is Rs 53.0 L. Each unit has a built-up area of 1000 Square feet. There are 3 bedrooms. This residential property is near Vellamal Global School, Velammal Vidyashram, and Maharishi Vidya Mandir. It is also close to Kathir Memorial Hospital",3,Yes,Chennai,Flat,3
5112,"ECO TREE ,Mambakkam-Chengalpattu , Chennai","3 BHK Flat for sale in Mambakkam-Chengalpattu , Chennai",5300000.0,"ECO TREE ,Mambakkam-Chengalpattu , Chennai",1000,5300.0,"3 BHK Apartment for sale in Mambakkam, Chennai. This 3 BHK unit is available in Mambakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Mambakkam. It is on floor 1. The total number of floors is 2. The price of this Apartment is Rs 53.0 L. The built-up area is 1000 Square feet. This property is at a walking distance from Kathir Memorial Hospital. The city's best schools such as Vellamal Global School, Velammal Vidyashram, and Maharishi Vidya Mandir ar...",3,Yes,Chennai,Flat,3
5113,SJ Prakaash Lake View Avenue,"3 BHK Flat for sale in Manimangalam, Chennai",7500000.0,"Manimangalam, Chennai",1250,6000.0,"Check out this 3 BHK Apartment for sale in Manimangalam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Manimangalam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 4. The property's price is Rs 75.0 L. Residents in this property pay Rs 2500 towards maintenance. This property is a modern-day abode, with 1250 Square feet built-up area. The unit h...",3,No,Chennai,Flat,3
5114,"chandru gardens,Vasuki Nagar, Pulianthope,Chennai","2 BHK Flat for sale in Pulianthope, Chennai",7000000.0,"chandru gardens,Vasuki Nagar, Pulianthope,Chennai",852,8210.0,"2 BHK Apartment with covered car and bike parking. The Block has only four apartments. There are only 2 blocks in the enclosure.Modular kitchen facility.852 sq.ft builtup area,612 sq.ft Undivided share,170 sq.ft common area.security and CCTV cameras More About This Property Check out this 2 BHK Apartment for sale in Pulianthope, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Pulianthope is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apart...",3,No,Chennai,Flat,2
5115,Shriram Park 63,"1 BHK Flat for sale in Perungalathur, Chennai",5600000.0,"Perungalathur, Chennai",600,9330.0,"One of the finest property in Perungalathur is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 4. It is a 13 storeyed building. The price of this Apartment is Rs 56.0 L. This Apartment is spacious with a built-up area of 600 Square feet. The carpet area is 440 Square feet. There are 1 bedroom and 0 bathroom. This property ensures you are a quick distance away from the city's best schools such as Team Educational Institute, Yamuna Play School and Day Care, and St. John's Matriculation Higher Secondary School. It is also close to good...",2,Yes,Chennai,Flat,1
5116,"Bk flat mannivakkam ,Mannivakkam, Chennai","2 BHK Flat for sale in Mannivakkam, Chennai",2900000.0,"Bk flat mannivakkam ,Mannivakkam, Chennai",1050,2760.0,"HiI have 2bhk flat mannivakkam with good condition, 9 years old,Near to temple, bus stand, ATM,pharmacy, market,shop, More About This Property Check out this 2 BHK Apartment for sale in Mannivakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Mannivakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 1. The property's price is Rs 29.0 L. Res...",3,No,Chennai,Flat,2
